Code,Area 2020,Number,,,,,Area 2019,Number,,,,,Area 2018,Number,,,,,Area 2017,Number,,,,,Area 2016,Number,,,,,Area 2015,Number,,,,,Area 2014,Number,,,,,Area 2013,Number,,,,,Area 2012,Number,,,,
,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total,,White,Asian,Black,Mixed/ Other,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000019,Islington,"177,000","14,000","18,000","34,000","243,000",Islington,"158,000","17,000","35,000","29,000","240,000",Islington,"165,000","17,000","25,000","28,000","235,000",Islington,"150,000","17,000","26,000","39,000","232,000",Islington,"143,000","17,000","32,000","37,000","229,000",Islington,"151,000","22,000","21,000","30,000","225,000",Islington,"155,000","17,000","19,000","28,000","219,000",Islington,"145,000","14,000","29,000","24,000","213,000",Islington,"143,000","19,000","24,000","23,000","209,000"
E09000020,Kensington and Chelsea,"109,000","15,000","14,000","15,000","153,000",Kensington and Chelsea,"102,000","18,000","15,000","18,000","153,000",Kensington and Chelsea,"100,000","18,000","15,000","22,000","154,000",Kensington and Chelsea,"97,000","12,000","18,000","26,000","153,000",Kensington and Chelsea,"102,000","13,000","16,000","24,000","155,000",Kensington and Chelsea,"104,000","12,000","15,000","25,000","156,000",Kensington and Chelsea,"107,000","12,000","14,000","23,000","156,000",Kensington and Chelsea,"106,000","11,000","13,000","24,000","155,000",Kensington and Chelsea,"108,000","13,000","11,000","22,000","154,000"
E09000021,Kingston upon Thames,"135,000","26,000","7,000","14,000","181,000",Kingston upon Thames,"130,000","23,000","8,000","18,000","179,000",Kingston upon Thames,"123,000","30,000","3,000","21,000","177,000",Kingston upon Thames,"124,000","26,000","5,000","17,000","172,000",Kingston upon Thames,"126,000","23,000","5,000","18,000","171,000",Kingston upon Thames,"130,000","20,000","2,000","16,000","169,000",Kingston upon Thames,"122,000","21,000","7,000","17,000","167,000",Kingston upon Thames,"127,000","24,000","3,000","10,000","164,000",Kingston upon Thames,"120,000","29,000","3,000","9,000","162,000"
E09000022,Lambeth,"215,000","22,000","55,000","38,000","329,000",Lambeth,"200,000","21,000","62,000","43,000","326,000",Lambeth,"172,000","28,000","76,000","49,000","324,000",Lambeth,"217,000","12,000","65,000","27,000","321,000",Lambeth,"203,000","14,000","77,000","26,000","320,000",Lambeth,"199,000","13,000","71,000","33,000","316,000",Lambeth,"209,000","11,000","66,000","28,000","314,000",Lambeth,"209,000","13,000","60,000","28,000","310,000",Lambeth,"201,000","15,000","71,000","20,000","306,000"
E09000023,Lewisham,"194,000","24,000","61,000","34,000","312,000",Lewisham,"195,000","23,000","71,000","21,000","309,000",Lewisham,"193,000","23,000","58,000","30,000","305,000",Lewisham,"189,000","25,000","63,000","23,000","300,000",Lewisham,"186,000","22,000","65,000","24,000","297,000",Lewisham,"161,000","31,000","77,000","24,000","293,000",Lewisham,"170,000","27,000","65,000","27,000","288,000",Lewisham,"178,000","28,000","52,000","25,000","283,000",Lewisham,"160,000","34,000","60,000","24,000","278,000"
E09000024,Merton,"140,000","33,000","21,000","14,000","208,000",Merton,"121,000","39,000","25,000","24,000","209,000",Merton,"135,000","35,000","16,000","21,000","207,000",Merton,"132,000","38,000","16,000","19,000","204,000",Merton,"129,000","38,000","21,000","18,000","205,000",Merton,"134,000","31,000","24,000","15,000","204,000",Merton,"123,000","36,000","28,000","16,000","203,000",Merton,"138,000","29,000","21,000","13,000","202,000",Merton,"129,000","40,000","18,000","12,000","200,000"
E09000025,Newham,"165,000","120,000","56,000","20,000","361,000",Newham,"122,000","137,000","65,000","35,000","358,000",Newham,"111,000","166,000","47,000","27,000","351,000",Newham,"110,000","144,000","57,000","35,000","346,000",Newham,"114,000","147,000","49,000","32,000","343,000",Newham,"107,000","128,000","60,000","40,000","335,000",Newham,"96,000","143,000","47,000","41,000","327,000",Newham,"76,000","146,000","45,000","53,000","320,000",Newham,"83,000","144,000","52,000","35,000","315,000"
E09000026,Redbridge,"132,000","139,000","26,000","16,000","313,000",Redbridge,"145,000","142,000","16,000","8,000","311,000",Redbridge,"143,000","126,000","20,000","18,000","307,000",Redbridge,"113,000","145,000","23,000","19,000","300,000",Redbridge,"125,000","133,000","24,000","18,000","300,000",Redbridge,"123,000","140,000","19,000","15,000","296,000",Redbridge,"133,000","112,000","24,000","22,000","291,000",Redbridge,"118,000","124,000","23,000","22,000","287,000",Redbridge,"128,000","116,000","19,000","20,000","282,000"
E09000027,Richmond upon Thames,"163,000","14,000",-,"18,000","200,000",Richmond upon Thames,"167,000","11,000","3,000","16,000","198,000",Richmond upon Thames,"170,000","11,000",-,"14,000","196,000",Richmond upon Thames,"162,000","12,000","4,000","15,000","194,000",Richmond upon Thames,"169,000","8,000","3,000","12,000","192,000",Richmond upon Thames,"166,000","11,000","3,000","12,000","191,000",Richmond upon Thames,"165,000","10,000","4,000","13,000","192,000",Richmond upon Thames,"168,000","10,000",-,"10,000","189,000",Richmond upon Thames,"164,000","11,000",-,"10,000","186,000"
E09000028,Southwark,"183,000","26,000","79,000","33,000","321,000",Southwark,"183,000","21,000","77,000","39,000","320,000",Southwark,"200,000","17,000","64,000","35,000","315,000",Southwark,"179,000","28,000","70,000","33,000","310,000",Southwark,"170,000","29,000","71,000","37,000","308,000",Southwark,"165,000","22,000","81,000","37,000","306,000",Southwark,"172,000","26,000","74,000","29,000","301,000",Southwark,"176,000","23,000","70,000","28,000","297,000",Southwark,"171,000","30,000","60,000","28,000","290,000"
E09000029,Sutton,"136,000","34,000","16,000","21,000","207,000",Sutton,"161,000","23,000","7,000","15,000","206,000",Sutton,"147,000","36,000","11,000","10,000","204,000",Sutton,"139,000","35,000","12,000","16,000","201,000",Sutton,"145,000","25,000","13,000","18,000","200,000",Sutton,"152,000","27,000","10,000","10,000","198,000",Sutton,"143,000","31,000","6,000","17,000","196,000",Sutton,"147,000","28,000","10,000","9,000","194,000",Sutton,"147,000","23,000","9,000","13,000","192,000"
E09000030,Tower Hamlets,"161,000","123,000","16,000","26,000","326,000",Tower Hamlets,"135,000","150,000","15,000","20,000","320,000",Tower Hamlets,"145,000","128,000","22,000","19,000","314,000",Tower Hamlets,"125,000","148,000","14,000","19,000","307,000",Tower Hamlets,"124,000","130,000","28,000","18,000","299,000",Tower Hamlets,"109,000","132,000","28,000","22,000","291,000",Tower Hamlets,"112,000","126,000","19,000","26,000","283,000",Tower Hamlets,"110,000","126,000","12,000","24,000","272,000",Tower Hamlets,"100,000","128,000","18,000","16,000","261,000"
E09000031,Waltham Forest,"188,000","32,000","34,000","29,000","282,000",Waltham Forest,"180,000","34,000","36,000","30,000","280,000",Waltham Forest,"142,000","44,000","43,000","48,000","277,000",Waltham Forest,"153,000","41,000","44,000","36,000","274,000",Waltham Forest,"156,000","57,000","37,000","23,000","273,000",Waltham Forest,"140,000","61,000","46,000","20,000","268,000",Waltham Forest,"138,000","57,000","47,000","24,000","266,000",Waltham Forest,"138,000","60,000","43,000","23,000","264,000",Waltham Forest,"141,000","56,000","38,000","25,000","260,000"
E09000032,Wandsworth,"249,000","26,000","25,000","25,000","325,000",Wandsworth,"245,000","39,000","21,000","18,000","324,000",Wandsworth,"242,000","19,000","39,000","23,000","323,000",Wandsworth,"227,000","37,000","19,000","33,000","316,000",Wandsworth,"227,000","30,000","25,000","34,000","317,000",Wandsworth,"233,000","38,000","24,000","22,000","316,000",Wandsworth,"224,000","38,000","27,000","21,000","310,000",Wandsworth,"234,000","30,000","26,000","18,000","308,000",Wandsworth,"229,000","26,000","29,000","23,000","306,000"
E09000033,Westminster,"159,000","18,000","19,000","44,000","240,000",Westminster,"140,000","31,000","15,000","53,000","240,000",Westminster,"140,000","33,000","17,000","51,000","241,000",Westminster,"131,000","34,000","19,000","50,000","234,000",Westminster,"136,000","31,000","18,000","54,000","239,000",Westminster,"132,000","27,000","26,000","48,000","233,000",Westminster,"134,000","24,000","20,000","51,000","229,000",Westminster,"136,000","25,000","12,000","50,000","224,000",Westminster,"119,000","30,000","19,000","55,000","222,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London,"5,436,000","1,668,000","1,062,000","875,000","9,042,000",London,"5,329,000","1,654,000","1,117,000","876,000","8,976,000",London,"5,255,000","1,630,000","1,052,000","938,000","8,875,000",London,"5,179,000","1,663,000","1,007,000","891,000","8,740,000",London,"5,108,000","1,606,000","1,083,000","888,000","8,685,000",London,"5,051,000","1,541,000","1,147,000","837,000","8,576,000",London,"5,086,000","1,481,000","1,038,000","851,000","8,456,000",London,"5,029,000","1,537,000","969,000","807,000","8,341,000",London,"4,954,000","1,533,000","964,000","774,000","8,225,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
